name,debt,region,edu
Kiribati,26.3,Australia and Oceania,12.4
West Bank,24.4,Middle East,5.3
Uzbekistan,24.3,Central Asia,4.9
Chile,23.6,South America,5.6
Luxembourg,23.0,Europe,5.0
Nigeria,21.8,Africa,0.5
Kazakhstan,20.8,Central Asia,4.5
Kuwait,20.6,Middle East,6.6
Switzerland,20.1,Europe,5.2
Anguilla,20.1,Central America and the Caribbean,4.0
United Arab Emirates,19.7,Middle East,3.9
Botswana,19.6,Africa,8.7
Paraguay,19.5,South America,3.3
Russia,19.0,Central Asia,3.7
Saudi Arabia,17.2,Middle East,7.8
Azerbaijan,16.8,Central Asia,4.3
"Congo, Democratic Republic of the",16.0,Africa,2.7
Solomon Islands,15.4,Australia and Oceania,12.8
Greenland,13.0,North America,10.2
Afghanistan,7.0,South Asia,2.9
Namibia,4.64,Africa,9.6
Timor-Leste,3.8,East and Southeast Asia,4.2
Lesotho,3.0,Africa,8.7
Brunei,2.8,East and Southeast Asia,4.4
Hong Kong,0.1,East and Southeast Asia,4.0
Macau,0.0,East and Southeast Asia,6.3
