name,slug,% of GDP,date_of_information,ranking,region
"Cuba","cuba","47.7","2017",113,"Central America and the Caribbean"
"China","china","47","2017",114,"East and Southeast Asia"
"Cote d'Ivoire","cote-divoire","47","2017",115,"Africa"
"Oman","oman","46.9","2017",116,"Middle East"
"India","india","46.5","2018",117,"South Asia"
"Ireland","ireland","45.4","2022",118,"Europe"
"Ecuador","ecuador","45.4","2017",119,"South America"
"Indonesia","indonesia","45.34","2022",120,"East and Southeast Asia"
"Niger","niger","45.3","2017",121,"Africa"
"Mexico","mexico","45.3","2023",122,"North America"
"Kyrgyzstan","kyrgyzstan","44","2023",123,"Central Asia"
"Georgia","georgia","43.4","2023",124,"Central Asia"
"Bermuda","bermuda","43","FY14/15",125,"North America"
"Trinidad and Tobago","trinidad-and-tobago","41.8","2017",126,"Central America and the Caribbean"
"Marshall Islands","marshall-islands","41.6","2019",127,"Australia and Oceania"
"Andorra","andorra","41","2014",128,"Europe"
"Rwanda","rwanda","40.5","2017",129,"Africa"
"Bosnia and Herzegovina","bosnia-and-herzegovina","40.4","2023",130,"Europe"
"Philippines","philippines","39.9","2017",131,"East and Southeast Asia"
"Nepal","nepal","39.9","2021",132,"South Asia"
"Honduras","honduras","39.5","2017",133,"Central America and the Caribbean"
"Iran","iran","39.5","2017",134,"Middle East"
"North Macedonia","north-macedonia","39.3","2017",135,"Europe"
"Venezuela","venezuela","38.9","2017",136,"South America"
"Guinea","guinea","37.9","2017",137,"Africa"
"Panama","panama","37.8","2017",138,"Central America and the Caribbean"
"Equatorial Guinea","equatorial-guinea","37.4","2017",139,"Africa"
"Dominican Republic","dominican-republic","37.2","2017",140,"Central America and the Caribbean"
"Tuvalu","tuvalu","37","2017",141,"Australia and Oceania"
"Tanzania","tanzania","37","2017",142,"Africa"
"Cameroon","cameroon","36.9","2017",143,"Africa"
"Sweden","sweden","36.9","2022",144,"Europe"
"Lithuania","lithuania","36.9","2023",145,"Europe"
"Norway","norway","36.5","2017",146,"Europe"
"Latvia","latvia","36.3","2017",147,"Europe"
"Eswatini","eswatini","36.2","2021",148,"Africa"
"Madagascar","madagascar","36","2017",149,"Africa"
"Taiwan","taiwan","35.7","2017",150,"East and Southeast Asia"
"Mali","mali","35.4","2017",151,"Africa"
"Denmark","denmark","35.3","2017",152,"Europe"
"Peru","peru","35.2","2021",153,"South America"
"Faroe Islands","faroe-islands","35","2014",154,"Europe"
"Czechia","czechia","34.7","2017",155,"Europe"
"Moldova","moldova","34.6","2023",156,"Europe"
"Liberia","liberia","34.4","2017",157,"Africa"
"Burma","burma","33.6","2017",158,"East and Southeast Asia"
"Nicaragua","nicaragua","33.3","2017",159,"Central America and the Caribbean"
"Belarus","belarus","33.2","2019",160,"Europe"
"Turkey (Turkiye)","turkey-turkiye","33.1","2023",161,"Middle East"
"Bangladesh","bangladesh","33.1","2017",162,"South Asia"
"Comoros","comoros","32.4","2017",163,"Africa"
"Djibouti","djibouti","31.8","2017",164,"Africa"
"Guatemala","guatemala","31.56","2020",165,"Central America and the Caribbean"
"Ethiopia","ethiopia","31.4","2019",166,"Africa"
"Haiti","haiti","31.1","2017",167,"Central America and the Caribbean"
"Cambodia","cambodia","30.4","2017",168,"East and Southeast Asia"
"Bulgaria","bulgaria","30.1","2023",169,"Europe"
"Turkmenistan","turkmenistan","28.8","2017",170,"Central Asia"
"Estonia","estonia","28.3","2023",171,"Europe"
"Micronesia, Federated States of","micronesia-federated-states-of","27.9","2020",172,"Australia and Oceania"
